k,epsilon_per_query,sequential_epsilon,advanced_epsilon,savings_percent
10,0.02,0.2,0.307482,-53.7
25,0.02,0.5,0.489853,2.0
50,0.02,1.0,0.698576,30.1
100,0.02,2.0,0.999705,50.0
250,0.02,5.0,1.617420,67.7
500,0.02,10.0,2.345950,76.5
10,0.05,0.5,0.783705,-56.7
25,0.05,1.25,1.262132,-1.0
50,0.05,2.5,1.821440,27.1
100,0.05,5.0,2.649263,47.0
250,0.05,12.5,4.418551,64.7
500,0.05,25.0,6.614875,73.5
10,0.1,1.0,1.617410,-61.7
25,0.1,2.5,2.649263,-6.0
50,0.1,5.0,3.892880,22.1
100,0.1,10.0,5.798526,42.0
250,0.1,25.0,10.087102,59.7
500,0.1,50.0,15.729751,68.5
10,0.2,2.0,3.434821,-71.7
25,0.2,5.0,5.798526,-16.0
50,0.2,10.0,8.785760,12.1
100,0.2,20.0,13.597052,32.0
250,0.2,50.0,25.174205,49.7
500,0.2,100.0,41.459501,58.5
